id,name,time_tags,min_price,max_price,tags,description
M01,Cơm tấm sườn,lunch dinner,45000,65000,"com tam rice pork filling","Sườn nướng, cơm, đồ chua"
M02,Bún bò Huế,morning lunch dinner,45000,70000,"bun bo noodle spicy beef","Tô bún bò đậm vị"
M03,Phở bò,morning lunch dinner,40000,65000,"pho noodle beef light","Phở bò dễ ăn"
M04,Bánh mì thịt,morning lunch,20000,35000,"banh mi bread quick pork","Nhanh, rẻ, tiện"
M05,Bún thịt nướng,lunch dinner,40000,60000,"bun thit nuong noodle pork fresh","Bún, thịt nướng, rau"
M06,Cơm gà xối mỡ,lunch dinner,45000,70000,"com ga rice chicken fried filling","Cơm gà no bụng"
M07,Hủ tiếu Nam Vang,morning lunch dinner,40000,65000,"hu tieu noodle pork shrimp light","Nước dùng nhẹ"
M08,Mì Quảng,lunch dinner,45000,70000,"mi quang noodle chicken pork central","Mì Quảng miền Trung"
M09,Cơm văn phòng,lunch,45000,70000,"com rice office balanced","Cơm phần tiện cho trưa"
M10,Bún chả Hà Nội,lunch dinner,45000,70000,"bun cha pork noodle grilled","Bún, chả nướng, nước mắm"
M11,Gỏi cuốn,lunch dinner,30000,50000,"goi cuon fresh healthy light","Tươi, nhẹ, ít dầu"
M12,Cháo gà,morning dinner,30000,50000,"chao chicken light warm","Ấm bụng, dễ ăn"
M13,Bánh cuốn,morning lunch,30000,50000,"banh cuon light pork quick","Nhẹ, hợp buổi sáng"
M14,Cơm chay,lunch dinner,35000,55000,"com chay vegetarian rice healthy","Cơm rau đậu thanh nhẹ"
M15,Bún riêu,lunch dinner,35000,60000,"bun rieu noodle crab tomato","Chua nhẹ, dễ ăn"
M16,Bánh xèo,lunch dinner,50000,75000,"banh xeo crispy pork shrimp","Giòn, ăn kèm rau"
M17,Bò kho bánh mì,morning lunch dinner,45000,70000,"bo kho beef bread filling","Bò kho ăn với bánh mì"
M18,Xôi mặn,morning,20000,40000,"xoi sticky rice quick filling","No nhanh buổi sáng"
M19,Cơm sườn bì chả,lunch dinner,50000,75000,"com tam rice pork filling","Cơm tấm đầy đủ"
M20,Bún đậu mắm tôm,lunch dinner,50000,80000,"bun dau tofu pork strong flavor","Nhiều món ăn kèm"
M21,Miến gà,morning lunch dinner,35000,60000,"mien chicken noodle light","Nhẹ hơn cơm"
M22,Cơm cá kho,lunch dinner,45000,65000,"com rice fish home style","Vị cơm nhà"
M23,Bún bò Nam Bộ,lunch dinner,45000,70000,"bun bo beef noodle fresh","Bún trộn bò, rau"
M24,Súp cua,morning afternoon,25000,45000,"sup cua soup light snack","Nhẹ, nhanh, ấm bụng"
